Epoch,Train Loss,Val Loss,L2 Loss,L2 Std,L2 Max Outlier
368,0.0001146,0.0003952,4.296,7.886,69.3
369,0.0001155,0.0003982,4.303,7.704,69.3
370,0.0001179,0.0003983,4.426,9.162,83.44
371,0.0001139,0.0003976,4.363,8.493,84.85
372,0.000116,0.0003992,4.373,8.804,79.2
373,0.0001152,0.0004018,4.557,8.868,83.44
374,0.0001159,0.0003979,4.54,8.533,77.78
375,0.0001138,0.0003949,4.236,7.451,72.12
376,0.0001186,0.0003987,3.748,6.769,70.71
377,0.0001168,0.0003992,4.48,8.855,79.2
378,0.000113,0.0003991,4.801,8.711,80.61
379,0.0001174,0.0004017,4.472,8.281,80.61
380,0.0001146,0.000401,4.536,9.058,83.44
381,0.0001167,0.0004007,3.928,7.378,72.12
382,0.0001134,0.0003991,4.151,7.921,83.44
383,0.0001128,0.0003972,4.091,7.774,84.85
384,0.0001179,0.0003946,4.388,8.059,80.61
385,0.0001171,0.000399,4.596,8.587,80.61
386,0.0001128,0.0003964,3.875,6.136,53.74
387,0.0001139,0.0003973,4.543,9.008,77.78
388,0.0001169,0.0004014,4.253,8.358,70.71
389,0.0001152,0.0004013,4.264,7.472,69.3
390,0.0001133,0.000399,4.472,8.952,82.02
391,0.0001168,0.0003972,3.932,7.826,82.02
392,0.0001109,0.0003951,4.49,8.577,82.02
393,0.0001123,0.000397,3.995,7.507,83.44
394,0.000111,0.0003981,4.151,8.128,77.78
395,0.0001165,0.0003981,4.784,9.714,83.44
396,0.0001167,0.0003964,4.395,8.56,83.44
397,0.000121,0.0003971,4.557,9.348,80.61
398,0.0001167,0.0004002,4.918,10,79.2
399,0.000116,0.0003998,4.183,8.239,83.44
400,0.0001159,0.0003969,4.331,8.71,79.2
401,0.0001161,0.0003909,4.211,7.377,73.54
402,0.0001111,0.0004,4.547,7.393,55.15
403,0.0001126,0.0003989,4.342,8.267,83.44
404,0.0001126,0.0003924,4.193,7.885,82.02
405,0.0001147,0.0003949,4.593,9.629,83.44
406,0.0001146,0.0003978,4.412,8.846,83.44
407,0.0001143,0.0003945,4.359,7.855,79.2
408,0.0001163,0.0003971,4.639,9.212,84.85
409,0.0001132,0.000395,4.363,8.985,79.2
410,0.0001131,0.0004014,4.236,7.969,73.54
411,0.0001162,0.0003952,3.62,5.249,52.33
412,0.0001128,0.0004015,4.67,9.476,80.61
413,0.0001169,0.0004044,5.066,10.23,77.78
414,0.0001146,0.0004008,3.981,7.505,84.85
415,0.0001117,0.0003959,4.391,8.765,84.85
416,0.0001129,0.0003965,4.412,9.515,79.2
417,0.0001183,0.0003981,4.345,7.835,72.12
418,0.000117,0.0003954,4.483,8.398,82.02
419,0.0001134,0.0004017,4.55,9.045,84.85
